,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,Winery,Grapes,Region,Alcohol content,Pairings,imgurl,rec_id
10,10,10,10,10,10,10,10,10,10,The Stump Jump Sauvignon Blanc,2019,White wine,Sauvignon Blanc,182 ratings,"18,038",d'Arenberg,100% Sauvignon Blanc,Australia / South Australia / Fleurieu / McLaren Vale,13.0,"['Shellfish', 'Vegetarian', 'Goat cheese']",//images.vivino.com/thumbs/v7Pb-zBQQ06hYlEERcLBNw_pb_x600.png,"454, 742, 1739, 367, 109, 1274"
11,11,11,11,11,11,11,11,11,11,Bordeaux,2016,Red wine,Blend,159 ratings,"18,448",Che_eau Bellevue la Rand筌_,"45% Cabernet Sauvignon, 45% Merlot, 10% Cabernet Franc",France / Bordeaux,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/N_DY2L01RymaH1ju1dclHw_pb_x600.png,"695, 623, 697, 504, 892, 1097"
12,12,12,12,12,12,12,12,12,12,Chardonnay,2019,White wine,Chardonnay,291 ratings,"28,184",Hess Select,100% Chardonnay,United States / California / Central Coast / Monterey County / Monterey,13.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",//images.vivino.com/thumbs/fWGACwwARB2NW-LOwXNOdw_pb_x600.png,"1468, 1594, 741, 953, 604, 1001"
13,13,13,13,13,13,13,13,13,13,La Tribuna,2019,Red wine,Blend,115 ratings,"20,292",El Angosto,"Shiraz/Syrah, Monastrell, Garnacha",Spain / Valencia,13.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",//images.vivino.com/thumbs/XW_PmF_0Rf-89tSHQ4HNxg_pb_x600.png,"442, 1171, 1946, 369, 832, 1401"
14,14,14,14,14,14,14,14,14,14,Chardonnay,2018,White wine,Chardonnay,102 ratings,"31,566",Foxglove,100% Chardonnay,United States / California / Central Coast,13.6,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",//images.vivino.com/thumbs/ZHPOTzbsQ52ARrHpfRgw9g_pb_x600.png,"980, 1707, 1046, 271, 1018, 604"
15,15,15,15,15,15,15,15,15,15,Rose,2019,Rose wine,Grenache,99 ratings,"25,929",Submission,Grenache,United States / California,13.5,"['Shellfish', 'Spicy food', 'Appetizers and snacks', 'Fruity desserts', 'Aperitif']",//images.vivino.com/thumbs/6_0af_hLQdSLFhSHjUXZ0Q_pb_x600.png,"8, 15, 23, 31, 38, 41"
16,16,16,16,16,16,16,16,16,16,Heartcraft Sparkling White,2016,Sparkling wine,Blend,97 ratings,"22,321",Ca' Momi,"Chardonnay, Gew筌_ztraminer, Pinot Noir, Sauvignon Blanc",United States / California,11.5,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",//images.vivino.com/thumbs/R_a3NoTKQ3-7dD_MeOCeFg_pb_x600.png,"1103, 1705, 1142, 1968, 603, 1906"
17,17,17,17,17,17,17,17,17,17,Bourgogne Aligote,2020,White wine,Aligote,96 ratings,"47,349",Philippe Chavy,Aligot筌,France / Bourgogne / Bourgogne Aligot筌,13.5,"['Pasta', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese', 'Cured Meat']",//images.vivino.com/thumbs/o2UzRfwZQjqFM0XjlC7RoA_pb_x600.png,"449, 1801, 34, 1765, 351, 918"
18,18,18,18,18,18,18,18,18,18,Chardonnay,2019,White wine,Chardonnay,94 ratings,"15,557",California Roots,Chardonnay,United States / California,13.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",//images.vivino.com/thumbs/qfsGVAIBTIaH7_fsqOcATw_pb_x600.png,"725, 681, 1189, 1985, 0, 184"
19,19,19,19,19,19,19,19,19,19,Bourgogne Aligote Buissonnier,2020,White wine,Aligote,94 ratings,"26,605",Vignerons de Buxy,Aligot筌,France / Bourgogne / Bourgogne Aligot筌,13.5,"['Pasta', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese', 'Cured Meat']",//images.vivino.com/thumbs/lhyZPOfaQleQpl6z1pP17Q_pb_x600.png,"1975, 892, 903, 1522, 6, 8"
20,20,20,20,20,20,20,20,20,20,Haut-Me_oc,2006,Red wine,Blend,92 ratings,"33,820",Che_eau le Meynieu,"Cabernet Sauvignon, Merlot",France / Bordeaux / M筌_oc / Haut-M筌_oc,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/0281rp4pvvlox_150x200.jpg,"912, 997, 1822, 946, 1596, 1159"
21,21,21,21,21,21,21,21,21,21,Pinot Noir,2019,Red wine,Pinot Noir,86 ratings,"33,820",Delta,Pinot Noir,New Zealand / South Island / Marlborough,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/KRhko9VZQXO0mxojZasoVw_pb_x600.png,"793, 355, 1231, 822, 778, 1070"
22,22,22,22,22,22,22,22,22,22,Woodfired Cabernet Sauvignon,2019,Red wine,Cabernet Sauvignon,82 ratings,"31,648",De Bortoli,Cabernet Sauvignon,Australia / Victoria / Central Victoria / Heathcote,13.5,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/uTjGtdu4RhW0E4c8injQCQ_pb_x600.png,"1199, 1496, 1667, 1396, 1683, 1814"
23,23,23,23,23,23,23,23,23,23,Cuvee Pierre Blanche,2018,Red wine,Blend,74 ratings,"13,054.18",Che_eau Gressina,"95% Merlot, 5% Cabernet Sauvignon",France / Bordeaux / C筌_es de Bordeaux / Blaye - C筌_es de Bordeaux,13.5,,//images.vivino.com/thumbs/vbVCxUBXQ1ygRZnXQw1Jkg_pb_x600.png,"8, 15, 23, 31, 38, 41"
24,24,24,24,24,24,24,24,24,24,Me_oc,2010,Red wine,Blend,306 ratings,"29,209",Che_eau Carcanieux,"45% Cabernet Sauvignon, 40% Merlot, 10% Cabernet Franc, 5% Petit Verdot",France / Bordeaux / M筌_oc,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/semq7kYRR4a0lvwhAYRl9A_pb_x600.png,"102, 1938, 121, 1134, 1860, 502"
25,25,25,25,25,25,25,25,25,25,Cupatge,2019,Red wine,Blend,70 ratings,"20,497",Here_cia Alte_,"Shiraz/Syrah, Cabernet Sauvignon, Grenache, Carignan",Spain / Catalunya / Terra Alta,14.0,"['Beef', 'Pasta', 'Veal', 'Poultry']",//images.vivino.com/thumbs/fDvZoVl9T8yz_wDmjHXy-w_pb_x600.png,"126, 680, 1885, 993, 2012, 1185"
26,26,26,26,26,26,26,26,26,26,Red,2017,Red wine,Cabernet Sauvignon,31 ratings,"54,830",Bon Ton,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",//images.vivino.com/thumbs/N67DHPKZQGyFH1M1HpZr7Q_pb_x600.png,"1449, 1399, 401, 348, 1777, 1166"
27,27,27,27,27,27,27,27,27,27,El Picaro,2020,Red wine,Tinta de toro,3328 ratings,"22,547",Matsu,100% Tinta de toro,Spain / Castilla y Le筌_ / Toro,14.5,"['Beef', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/GxOZfMMRR9GfvydVe7Icmg_pb_x600.png,"1842, 1602, 1515, 902, 174, 1177"
28,28,28,28,28,28,28,28,28,28,Bosco di Gica Valdobbiadene Prosecco Superiore Brut,2016,Sparkling wine,Glera,3797 ratings,"37,202",Adami,100% Glera,Italy / Veneto / Prosecco / Conegliano-Valdobbiadene Prosecco,11.0,"['Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Aperitif', 'Cured Meat']",//images.vivino.com/thumbs/6PW5_5tmR6GeHTMVXHJfpw_pb_x600.png,"211, 1147, 301, 62, 1643, 431"
29,29,29,29,29,29,29,29,29,29,Costa Cuarzo Sauvignon Blanc,2021,White wine,Sauvignon Blanc,33 ratings,"24,238",Koyle,Sauvignon Blanc,Chile / Central Valley / Rapel Valley / Colchagua Valley,13.5,"['Shellfish', 'Vegetarian', 'Goat cheese']",//images.vivino.com/thumbs/c0k2mIqJRs-DZlYDuzfb7w_pb_x600.png,"492, 4, 846, 611, 1523, 672"
