,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
21,21,21,21,Pinot Noir,2019,Red wine,Pinot Noir,86 ratings,"33,820",//images.vivino.com/thumbs/KRhko9VZQXO0mxojZasoVw_pb_x600.png
22,22,22,22,Woodfired Cabernet Sauvignon,2019,Red wine,Cabernet Sauvignon,82 ratings,"31,648",//images.vivino.com/thumbs/uTjGtdu4RhW0E4c8injQCQ_pb_x600.png
23,23,23,23,Cuvee Pierre Blanche,2018,Red wine,Blend,74 ratings,"13,054.18",//images.vivino.com/thumbs/vbVCxUBXQ1ygRZnXQw1Jkg_pb_x600.png
24,24,24,24,Me_oc,2010,Red wine,Blend,306 ratings,"29,209",//images.vivino.com/thumbs/semq7kYRR4a0lvwhAYRl9A_pb_x600.png
25,25,25,25,Cupatge,2019,Red wine,Blend,70 ratings,"20,497",//images.vivino.com/thumbs/fDvZoVl9T8yz_wDmjHXy-w_pb_x600.png
26,26,26,26,Red,2017,Red wine,Cabernet Sauvignon,31 ratings,"54,830",//images.vivino.com/thumbs/N67DHPKZQGyFH1M1HpZr7Q_pb_x600.png
27,27,27,27,El Picaro,2020,Red wine,Tinta de toro,3328 ratings,"22,547",//images.vivino.com/thumbs/GxOZfMMRR9GfvydVe7Icmg_pb_x600.png
28,28,28,28,Bosco di Gica Valdobbiadene Prosecco Superiore Brut,2016,Sparkling wine,Glera,3797 ratings,"37,202",//images.vivino.com/thumbs/6PW5_5tmR6GeHTMVXHJfpw_pb_x600.png
29,29,29,29,Costa Cuarzo Sauvignon Blanc,2021,White wine,Sauvignon Blanc,33 ratings,"24,238",//images.vivino.com/thumbs/c0k2mIqJRs-DZlYDuzfb7w_pb_x600.png
30,30,30,30,Coq  Vino,2018,Red wine,Blend,34 ratings,"38,842",//images.vivino.com/thumbs/ZtR8V2r8R9m-Fg90Y3tsTQ_pb_x600.png
31,31,31,31,Se Alto,2017,Sparkling wine,Glera,34 ratings,"32,693",//images.vivino.com/thumbs/orE-unhxTsOCHRrfUl_r7A_150x200.jpg
32,32,32,32,Aquitaine Cabernet Sauvignon,2017,Red wine,Cabernet Sauvignon,34 ratings,"37,059",//images.vivino.com/thumbs/ocTpPiT4Sy6d8uDBBxVJLw_pb_x600.png
33,33,33,33,Antona Garcia,2017,Red wine,Tinta de toro,35 ratings,"57,495",//images.vivino.com/thumbs/VAJM4Bk-TT6yZCYsluPKKQ_pb_x600.png
34,34,34,34,Chardonnay,2018,White wine,Chardonnay,35 ratings,"35,255",//images.vivino.com/thumbs/SnNiBc8CTDeEqMtVmTjR4A_pb_x600.png
35,35,35,35,Les Contreforts de Montmirail Beaumes-de-Venise,2019,Red wine,Blend,35 ratings,"52,985",//images.vivino.com/thumbs/Pr0uvSXPQuKM42r1QvAabA_pb_x600.png
36,36,36,36,Jean Pull,2018,Red wine,Blend,36 ratings,"33,902",//images.vivino.com/thumbs/xNDh-oi2Q6OpllYU9EtToQ_pb_x600.png
37,37,37,37,Le Grand Clos,2019,White wine,Chenin Blanc,36 ratings,"64,023",//images.vivino.com/thumbs/mECuLHIESy-VCqQXCnDSfA_pb_x600.png
38,38,38,38,Te_e d'Ange,2020,White wine,Chenin Blanc,37 ratings,"33,718",//images.vivino.com/thumbs/ck8d88wVTkiF6V4GeGtZUg_pb_x600.png
39,39,39,39,Cabernet Sauvignon,2015,Red wine,Cabernet Sauvignon,37 ratings,"73,278",//images.vivino.com/thumbs/J63D6btyTQuRZYdxLXZPvg_pb_x600.png
40,40,40,40,Tinto,2019,Red wine,Blend,38 ratings,"20,067",//images.vivino.com/thumbs/0Yg6cZZmSfWPB0YWSjiVug_pb_x600.png
