wine_id,name,wine_type,rating_mean,rating_num,kprice,Alcohol_content,Pairings,Light_Bold,Smooth_Tannic,Dry_Sweet,Soft_Acidic,vintage,grape_simple,Winery,Grapes,Region,Wine style,Allergens,imgurl,link
12,Chardonnay,White,3.5,291,28184.0,13.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",97.522,54.36922352941176,40.86964705882352,56.396,2019,Chardonnay,Hess Select,100% Chardonnay,United States / California / Central Coast / Monterey County / Monterey,Californian Chardonnay,Contains sulfites,https://images.vivino.com/thumbs/fWGACwwARB2NW-LOwXNOdw_pb_x600.png,https://www.vivino.com//JP/en/hess-select-chardonnay/w/1136984?year=2019&price_id=29606552
13,La Tribuna,Red,3.5,115,20292.0,13.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",78.32117647058823,47.55894117647059,8.241694117647059,56.228235294117646,2019,Blend,El Angosto,"Shiraz/Syrah, Monastrell, Garnacha",Spain / Valencia,Spanish Red,Contains sulfites,https://images.vivino.com/thumbs/XW_PmF_0Rf-89tSHQ4HNxg_pb_x600.png,https://www.vivino.com//JP/en/angosto-la-tribuna/w/7493580?year=2019&price_id=27464067
14,Chardonnay,White,3.5,102,31566.0,13.6,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",100.0,54.36922352941176,38.48670588235294,61.52564705882353,2018,Chardonnay,Foxglove,100% Chardonnay,United States / California / Central Coast,Californian Chardonnay,Contains sulfites,https://images.vivino.com/thumbs/ZHPOTzbsQ52ARrHpfRgw9g_pb_x600.png,https://www.vivino.com//JP/en/foxglove-chardonnay/w/1105421?year=2018&price_id=26506221
15,Rosï§,Rosï§,3.5,99,25929.0,13.5,"['Shellfish', 'Spicy food', 'Appetizers and snacks', 'Fruity desserts', 'Aperitif']",68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,2019,Grenache,Submission,Grenache,United States / California,Californian Rosï§,Contains sulfites,https://images.vivino.com/thumbs/6_0af_hLQdSLFhSHjUXZ0Q_pb_x600.png,https://www.vivino.com//JP/en/submission-rose/w/9652148?year=2019&price_id=26223821
16,Heartcraft Sparkling White,Sparkling,3.5,97,22321.0,11.5,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",73.782,54.36922352941176,15.969529411764706,60.49188235294118,2016,Blend,Ca' Momi,"Chardonnay, Gewï§_ztraminer, Pinot Noir, Sauvignon Blanc",United States / California,Californian Sparkling,Contains sulfites,https://images.vivino.com/thumbs/R_a3NoTKQ3-7dD_MeOCeFg_pb_x600.png,https://www.vivino.com//JP/en/ca-momi-heartcraft-sparkling-white-california/w/5655971?price_id=22172281
17,Bourgogne Aligotï§,White,3.5,96,47349.0,13.5,"['Pasta', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese', 'Cured Meat']",67.08917647058823,54.36922352941176,1.5721882352941177,57.76823529411765,2020,Aligotï§,Philippe Chavy,Aligotï§,France / Bourgogne / Bourgogne Aligotï§,Burgundy White,Contains sulfites,https://images.vivino.com/thumbs/o2UzRfwZQjqFM0XjlC7RoA_pb_x600.png,https://www.vivino.com//JP/en/domaine-philippe-chavy-bourgogne-aligote/w/1112430?year=2020&price_id=29479411
18,Chardonnay,White,3.5,94,15557.0,13.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",75.8749411764706,54.36922352941176,51.40152941176471,54.790470588235294,2019,Chardonnay,California Roots,Chardonnay,United States / California,Californian Chardonnay,Contains sulfites,https://images.vivino.com/thumbs/qfsGVAIBTIaH7_fsqOcATw_pb_x600.png,https://www.vivino.com//JP/en/california-roots-chardonnay/w/5762409?year=2019&price_id=27460647
19,Bourgogne Aligotï§ Buissonnier,White,3.5,94,26605.0,13.5,"['Pasta', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese', 'Cured Meat']",65.31235294117647,54.36922352941176,15.969529411764706,63.37705882352942,2020,Aligotï§,Vignerons de Buxy,Aligotï§,France / Bourgogne / Bourgogne Aligotï§,Burgundy White,Contains sulfites,https://images.vivino.com/thumbs/lhyZPOfaQleQpl6z1pP17Q_pb_x600.png,https://www.vivino.com//JP/en/buxy-bourgogne-aligote-buissonnier/w/1313559?year=2020&price_id=28592211
20,Haut-Mï§_oc,Red,3.5,92,33820.0,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.10423529411764,88.56094117647058,11.225658823529413,82.1329411764706,2006,Blend,Chï§_eau le Meynieu,"Cabernet Sauvignon, Merlot",France / Bordeaux / Mï§_oc / Haut-Mï§_oc,Bordeaux Mï§_oc,Contains sulfites,https://images.vivino.com/thumbs/0281rp4pvvlox_150x200.jpg,https://www.vivino.com//JP/en/le-meynieu-haut-medoc/w/1948611?year=2006&price_id=26569906
21,Pinot Noir,Red,3.5,86,33820.0,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",25.41035294117648,23.74835294117647,16.866823529411764,73.90329411764706,2019,Pinot Noir,Delta,Pinot Noir,New Zealand / South Island / Marlborough,New Zealand Pinot Noir,Contains sulfites,https://images.vivino.com/thumbs/KRhko9VZQXO0mxojZasoVw_pb_x600.png,https://www.vivino.com//JP/en/delta-wine-company-ltd-pinot-noir/w/86916?year=2019&price_id=26753748
